Workstream,Feature,Status,Start Date,End Date,Dependencies,Research Required,Research Start Date,Research End Date,Resources,Client Commitment,Risk,Contingency,Confluence Link
Manager Module,Optimizer UI,To do,9/30/2026,12/31/2026,,Yes,,,"Frontend Team, Optimizer Team, UX Designers",Yes,Low,API Interface for optimizer,
Waterfall,Watefall input JSON from MM,To do,1/31/2026,3/31/2026,MM 2.0 Rollout,No,,,"Waterfall Team, MM Team",State street,Medium,None required,https://moodysanalytics.atlassian.net/wiki/spaces/ISH/pages/1140002204/Manager+Module+-+Waterfall+Integration+project
Waterfall,Waterfall model output to MM,To do,3/1/2026,5/31/2026,Watefall input JSON from MM,No,,,"Waterfall Team, MM Team",State street,Medium,None required,https://moodysanalytics.atlassian.net/wiki/spaces/ISH/pages/1140002204/Manager+Module+-+Waterfall+Integration+project
Waterfall,Waterfall Library,To do,5/31/2026,7/31/2026,Waterfall model output to MM,Yes,,,"Waterfall Team, Backend Engineers",No,Medium,TBD,https://moodysanalytics.atlassian.net/wiki/spaces/ISH/pages/1140002204/Manager+Module+-+Waterfall+Integration+project
Waterfall,Deal creator integration into MM,To do,6/30/2026,9/30/2026,"Waterfall Library, Waterfall model integration into MM",No,,,"Waterfall Team, MM Team, Frontend Team",State street,Medium,Scripting for deal creation,https://moodysanalytics.atlassian.net/wiki/spaces/ISH/pages/1140002204/Manager+Module+-+Waterfall+Integration+project
Recon,Recon to use the data from common data layer,To do,6/30/2026,9/30/2026,MM Integration,No,,,"Data Import Team, Private Credit Platform Team",No,Medium,Direct database access,
Recon,Recon app switching with MM,To do,6/1/2026,6/30/2026,MM 2.0 Rollout,No,,,"Recon Team, MM Team",No,Low,None required,
Dashboarding,Apollo dashbords,To do,2/1/2026,3/31/2026,,No,,,"Dashboarding Team, MM Team",Apollo/Redding Ridge,High,None required,
Dashboarding,More generic dashboards,To do,3/31/2026,6/30/2026,Apollo dashbords,Yes,,,"Dashboarding Team, Product Team",No,Low,Template-based dashboards,
Dashboarding,Integration into MM,To do,3/31/2026,6/30/2026,"Apollo dashbords, MM 2.0 Rollout",No,,,"Dashboarding Team, MM Team",No,Medium,TBD,
Dashboarding,Integration into new Private credit platform,To do,3/31/2026,6/30/2026,More generic dashboards,No,,,"Dashboarding Team, Private Credit Platform Team",Yes,Low,Separate dashboard instance,
Dashboarding,Sisense replacement capabilities,To do,9/30/2026,12/31/2026,More generic dashboards,Yes,,,Dashboarding Team,No,Medium,Keep Sisense running in parallel,
Private Credit Platform,Data Import and Entitlements,To do,3/31/2026,6/30/2026,Use in Data Import,No,,,"Platform Team, Data Import Team",No,Medium,Manual data import process,
Private Credit Platform,Integrate compliance engine,To do,3/31/2026,6/30/2026,"Compliance Library, Data Import and Entitlements",No,,,"Platform Team, Compliance Team",Yes,Low,None required,
Private Credit Platform,Integrate Dashboards,To do,6/30/2026,9/30/2026,Integration into new Private credit platform,No,,,"Platform Team, Dashboarding Team",No,Low,None required,
Private Credit Platform,Integrate waterfall and deal creator,To do,9/30/2026,12/31/2026,Deal creator integration into MM,No,,,"Platform Team, Waterfall Team",No,Low,None required,
Private Credit Platform,Exploration service,To do,6/30/2026,9/30/2026,Data Import and Entitlements,Yes,,,"Platform Team, Product Team",No,Low,None required,
Private Credit Platform,Lender Migration,To do,1/1/2027,3/31/2027,"Integrate waterfall and deal creator, Integrate compliance engine",No,,,"Platform Team, Migration Team, QA Team",Yes,High,Phased migration with dual-run period,
